qid,category_en,category_ja,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q425958,enzyme,酵素,Q59199015,flumethrin,フルメトリン,insecticide,,,,,,
Q2117581,enzyme,酵素,Q59199015,salvinorin B methoxymethyl ether,2-メトキシメチルサルビノリンB,chemical compound,サルビノリンAのアナログである半合成化合物,,,,,
Q1501665,enzyme,酵素,Q59199015,lysergic acid hydroxyethylamide,リセルグ酸ヒドロキシエチル,chemical compound,,,,,,
Q706868,enzyme,酵素,Q59199015,(1RS)-artemotil,アルテモチル,group of stereoisomers,,,,,,
Q660090,enzyme,酵素,Q59199015,letosteine,,chemical compound,,C018578,,,,C0064777
Q1385138,enzyme,酵素,Q59199015,furilazole,,group of stereoisomers,,,,,,
Q1104521,enzyme,酵素,Q59199015,carbazochrome,カルバゾクロム,group of stereoisomers,,C073338,,,,
Q408360,enzyme,酵素,Q59199015,Nile blue,ナイルブルー,chemical compound,,,,,,
Q2058978,enzyme,酵素,Q59199015,tetrahydrodeoxycorticosterone,テトラヒドロデオキシコルチコステロン,chemical compound,,C009413,,,,
Q1439344,enzyme,酵素,Q59199015,fosalvudine tidoxil,,chemical compound,,,,,,
Q2465218,enzyme,酵素,Q59199015,(RS)-etodolac,エトドラク,group of stereoisomers,,D017308,,,,C0059865
Q1559594,enzyme,酵素,Q59199015,isoborneol acrylate,,group of stereoisomers,,,,,,
Q425838,enzyme,酵素,Q59199015,bupranolol,,group of strerosimers,,D002046,,,,C0006403
Q407997,enzyme,酵素,Q59199015,inositol,イノシトール,group of chemical compounds,,D007294,,,,C0021547
Q719694,enzyme,酵素,Q59199015,mephenoxalone,メフェノキサロン,chemical compound,化合物、筋弛緩剤および軽い抗不安薬,,,,,
Q303169,enzyme,酵素,Q59199015,crotonoyl-CoA,クロトニルCoA,chemical compound,,,,,,
Q392227,enzyme,酵素,Q59199015,guanosine triphosphate,グアノシン三リン酸,chemical compound,,D006160,,,,C0018353
Q2195393,enzyme,酵素,Q59199015,vinflunine,,chemical compound,,C111217,,,,C0672663
Q2329841,enzyme,酵素,Q59199015,methoprene,メトプレン,chemical compound,,D008726,,,,
Q1639595,enzyme,酵素,Q59199015,gemifloxacin,,chemical compound,,D000077735,,,,C0533545
Q381866,enzyme,酵素,Q59199015,escin Ia,,chemical compound,,D004928,,,,
Q2368524,enzyme,酵素,Q59199015,fenpropimorph,,chemical compound,,C050435,,,,C0060193
Q2074372,enzyme,酵素,Q59199015,(rac)-pseudaconitine,,chemical compound,,,,,,
Q2112940,enzyme,酵素,Q59199015,propaquizafop,,group of stereoisomers,,,,,,
Q418763,enzyme,酵素,Q59199015,(RS)-cyclosarin,シクロサリン,group of stereoisomers,,,,,,
Q2366874,enzyme,酵素,Q59199015,triticonazole,,chemical compound,,,,,,
Q1416224,enzyme,酵素,Q59199015,Sorbitan tristearate,,chemical compound,,,,,,
