qid,category_en,category_ja,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q24722887,cell type,細胞型,Q7644128,"Chaperonin TCP-1, conserved site",,InterPro Conserved Site,,,,,,
Q24722759,cell type,細胞型,Q7644128,"Histone H4, conserved site",,InterPro Conserved Site,,,,,,
Q24722776,cell type,細胞型,Q7644128,Histone H2A conserved site,,InterPro Conserved Site,,,,,,
Q24722816,cell type,細胞型,Q7644128,"Interleukin-10, conserved site",,InterPro Conserved Site,,,,,,
Q24722971,cell type,細胞型,Q7644128,"DNA-directed RNA polymerase M, 15kDa subunit, conserved site",,InterPro Conserved Site,,,,,,
Q24722422,cell type,細胞型,Q7644128,"Serpin, conserved site",,InterPro Conserved Site,,,,,,
Q24722560,cell type,細胞型,Q7644128,P120R repeat,,InterPro Repeat,,,,,,
Q24723080,cell type,細胞型,Q7644128,"Conotoxin-I, conserved site",,InterPro Conserved Site,,,,,,
Q24722652,cell type,細胞型,Q7644128,"Phosphoglycerate kinase, conserved site",,InterPro Conserved Site,,,,,,
Q24722734,cell type,細胞型,Q7644128,"NADH:ubiquinone oxidoreductase, 75kDa subunit, conserved site",,InterPro Conserved Site,,,,,,
Q24722770,cell type,細胞型,Q7644128,"Ribosomal protein L39e, conserved site",,InterPro Conserved Site,,,,,,
Q24722795,cell type,細胞型,Q7644128,Pyrrolo-quinoline quinone beta-propeller repeat,,InterPro Repeat,,,,,,
Q24722864,cell type,細胞型,Q7644128,"Phosphofructokinase, conserved site",,InterPro Conserved Site,,,,,,
Q24722990,cell type,細胞型,Q7644128,"kringle, conserved site",,InterPro Conserved Site,,,,,,
Q24722979,cell type,細胞型,Q7644128,Thiol peroxidase conserved site,,InterPro Conserved Site,,,,,,
Q24722982,cell type,細胞型,Q7644128,Zinc metalloproteinase 18-residue repeat,,InterPro Repeat,,,,,,
Q24723078,cell type,細胞型,Q7644128,Titin repeats,,InterPro Repeat,,,,,,
Q24722372,cell type,細胞型,Q7644128,"AT hook, DNA-binding motif",ATフック,InterPro Conserved Site,,D024761,,,,C0949662
Q24723206,cell type,細胞型,Q7644128,"Dynamin, GTPase region, conserved site",,InterPro Conserved Site,,,,,,
