qid,category_en,category_ja,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q124310551,medical device,医療機器,Q12139612,"Catalogue de tableaux anciens..., objets d'art, diamants et bijoux... dépendant de la succession de madame la comtesse Koucheleff",,"art sale catalog by Eugene Feral and Charles Mannheim, 1875",,,,,,
Q124321893,medical device,医療機器,Q12139612,Recent Acquisitions: Medieval & Renaissance Illuminated Manuscripts,,art catalogue published in 1997,,,,,,
Q124329539,medical device,医療機器,Q12139612,Sotheby's Old Masters online 19 September 2019,,art sale catalogue with property from the SØR Rusche collection and from various owners,,,,,,
Q124334971,medical device,医療機器,Q12139612,Sotheby's Old Masters online 10 May 2019,,art auction catalogue with property from the SØR Rusche collection,,,,,,
Q124339789,medical device,医療機器,Q12139612,At Home in the Golden Age - minor masterpieces from the Sør Rusche collection,,"2008 art catalog for Kunsthal Rotterdam exhibition 9 Feb - 18 May 2008, intro by Wim Pijbes, edited by Martine Gosselink, articles by Marten Jan Bok, Martine Aarts, Marloes Hemmer, Koosje Hofman, Christine Oele, Hester Schölvinck",,,,,,
Q123468717,medical device,医療機器,Q12139612,Edvard Munch,,book by Alf Bøe,,,,,,
Q70730653,medical device,医療機器,Q12139612,Expeditions and explorations,,dataset of expeditions and explorations,,,,,,
Q70732214,medical device,医療機器,Q12139612,Polarforskere og oppdagelsesreisende,,dataset of polar scientists and explorers,,,,,,
Q63323640,medical device,医療機器,Q12139612,Academia Sinica Name Authority Database,中央研究院人名権威資料庫,biographical information for personal names in Ming and Qing Dynasty,,,,,,
Q61356138,medical device,医療機器,Q12139612,FemBio database,,database of women's biographies,,,,,,
Q64729537,medical device,医療機器,Q12139612,Panoptikum.social,,podcast database,,,,,,
Q88074232,medical device,医療機器,Q12139612,Database of Photography Companies (Sweden),,,,,,,,
Q85132595,medical device,医療機器,Q12139612,Podchaser,ポッドチェイサー,online podcast database,ポッドキャストに関するオンライン・データベース,,,,,
Q81502231,medical device,医療機器,Q12139612,Performing arts (Oslo Museum),,dataset https://kulturnav.org/,,,,,,
Q64584900,medical device,医療機器,Q12139612,Erik Amburger database,,"database about foreigners in pre-revolutionary Russia, based on Professor Erik Amburger's (1907–2001) name catalogue, which contains more than 90,000 index cards",,,,,,
Q106706430,medical device,医療機器,Q12139612,Biodiversity data publishers from Norway,,Norwegian institutions registered as data publishers in the Global Biodiversity Information Facility,,,,,,
Q73166044,medical device,医療機器,Q12139612,Luminary,,podcast streaming platform,,,,,,
Q75177725,medical device,医療機器,Q12139612,Finnish generals and admirals in the Imperial Russian Army 1809–1917,,database of Finnish generals and admirals in the Imperial Russian Army 1809–1917 by the Finnish Literature Society,,,,,,
Q76000861,medical device,医療機器,Q12139612,Enslaved: Peoples of the Historic Slave Trade,奴隷化:歴史的な奴隷貿易の人々,website,ウェブサイト,,,,,
Q61711544,medical device,医療機器,Q12139612,PodOmatic,,podcast manager,,,,,,
Q63346312,medical device,医療機器,Q12139612,Chinese Political Elites Database,中国政治エリートデータベース,"database developed and maintained by the National Chengchi University of Taiwan, containing useful information of thousands of China's high-ranking politicians",,,,,,
Q84177808,medical device,医療機器,Q12139612,Saarland Biografien,,Website by Prof. Dr. Joachim Conrad,,,,,,
Q56085608,medical device,医療機器,Q12139612,CRLB XVIII (1). Landscapes,,part of Corpus Rubenianum Ludwig Burchard,,,,,,
Q56085592,medical device,医療機器,Q12139612,XI (3). Mythological Subjects O-Z,,part 11-3 of catalogue raisonné of works by Peter Paul Rubens,,,,,,
Q56085605,medical device,医療機器,Q12139612,XII. Allegories and Subjects from Literature,,part XII of catalogue raisonné of works by Peter Paul Rubens,,,,,,
Q56085615,medical device,医療機器,Q12139612,XIII (2). Subjects from History. The Decius Mus Series,,part 13-2 of catalogue raisonné of works by Peter Paul Rubens,,,,,,
