qid,category_en,category_ja,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q24719806,protein family,タンパク質ファミリー,Q417841,"cytochrome P450, E-class, CYP3A",,InterPro Family,,,,,,
Q24719837,protein family,タンパク質ファミリー,Q417841,Chromosome segregation in meiosis protein 2,,InterPro Family,,,,,,
Q24719823,protein family,タンパク質ファミリー,Q417841,Cylicin,,InterPro Family,,,,,,
Q24719941,protein family,タンパク質ファミリー,Q417841,Actin patches distal protein 1,,InterPro Family,,,,,,
Q24719827,protein family,タンパク質ファミリー,Q417841,"Cytochrome c oxidase subunit VIIa-related, mitochondrial",,InterPro Family,,,,,,
Q24719954,protein family,タンパク質ファミリー,Q417841,"Adenylylsulphate reductase, beta subunit",,InterPro Family,,,,,,
Q24719829,protein family,タンパク質ファミリー,Q417841,D-aminoacyl-tRNA deacylase DTD,,InterPro Family,,,,,,
Q24719908,protein family,タンパク質ファミリー,Q417841,Calcium homeostasis modulator protein 6,,InterPro Family,,,,,,
Q24719792,protein family,タンパク質ファミリー,Q417841,"Extradiol aromatic ring-opening dioxygenase, DODA-type",,InterPro Family,,,,,,
Q24719838,protein family,タンパク質ファミリー,Q417841,E3 ubiquitin-protein ligase BOI-like,,InterPro Family,,,,,,
Q24719802,protein family,タンパク質ファミリー,Q417841,Gliding-associated putative ABC transporter substrate-binding GldG,,InterPro Family,,,,,,
Q24719800,protein family,タンパク質ファミリー,Q417841,"Hemolysin, aegerolysin type",,InterPro Family,,,,,,
Q24719822,protein family,タンパク質ファミリー,Q417841,Golgi apparatus membrane protein TVP23-like,,InterPro Family,,,,,,
Q24719805,protein family,タンパク質ファミリー,Q417841,Immunity protein 57,,InterPro Family,,,,,,
Q24719842,protein family,タンパク質ファミリー,Q417841,IlvGEDA operon leader peptide,,InterPro Family,,,,,,
Q24719913,protein family,タンパク質ファミリー,Q417841,Fanconi-associated nuclease 1-like,,InterPro Family,,,,,,
Q24719926,protein family,タンパク質ファミリー,Q417841,Exosortase family protein XrtG,,InterPro Family,,,,,,
Q24719915,protein family,タンパク質ファミリー,Q417841,Fructose-6-phosphate aldolase,,InterPro Family,,,,,,
Q24719942,protein family,タンパク質ファミリー,Q417841,FAM98,,InterPro Family,,,,,,
Q24719907,protein family,タンパク質ファミリー,Q417841,"Hypoxia-inducible factor, alpha subunit",,InterPro Family,,,,,,
Q24719966,protein family,タンパク質ファミリー,Q417841,Inner membrane protein YgfX,,InterPro Family,,,,,,
Q24719813,protein family,タンパク質ファミリー,Q417841,Malate synthase G,,InterPro Family,,,,,,
Q24719796,protein family,タンパク質ファミリー,Q417841,NAD(P)H-quinone oxidoreductase subunit D/H,,InterPro Family,,,,,,
Q24719816,protein family,タンパク質ファミリー,Q417841,"Metallothionein, family 14, prokaryote",,InterPro Family,,,,,,
