qid,category_en,category_ja,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q16343,organ,臓器,Q24060765,clavicle,鎖骨,plain bone of short length that serves as a strut between the scapula and the sternum,骨の一つ,D002968,,,,C0008913
Q56641674,organ,臓器,Q24060765,Denisova 11,,,,,,,,
Q25378265,organ,臓器,Q24060765,Bu sands pictish figure,,"carved ox phalanx found at Bu Sands, Burray, Orkney Islands, Scotland, UK",,,,,,
Q56240616,organ,臓器,Q24060765,Denisova 5,,,,,,,,
Q56447457,organ,臓器,Q24060765,Sangiran IV,,,,,,,,
Q5140206,organ,臓器,Q24060765,Codex Escalada,,Nahuatl-language parchment related to the Guadalupe apparitions,,,,,,
Q57820674,organ,臓器,Q24060765,vertebrae of pope Innocent VI,,,,,,,,
Q475670,organ,臓器,Q24060765,Mauer 1,マウアー1,oldest-known human fossil found in Germany,,,,,,
Q1963451,organ,臓器,Q24060765,Nafs,ナフス,"Quranic Arabic word for the ""self""",,,,,,
Q60846886,organ,臓器,Q24060765,Bornais bone plate,,"Ogham inscribed bone found on South Uist, Outer Hebrides, Scotland, UK",,,,,,
Q193527,organ,臓器,Q24060765,vomer,鋤骨,facial bone,,D055172,,,,C0242403
Q16317,organ,臓器,Q24060765,occipital bone,後頭骨,saucer-shaped membrane bone situated at the back and lower part of the cranium,,D009777,,,,C0004814
Q1377893,organ,臓器,Q24060765,Arctic fox,,white fur of the Arctic fox (Vulpes lagopus),,,,,,
Q89145994,organ,臓器,Q24060765,KNM-KP 271,,,,,,,,
Q89374599,organ,臓器,Q24060765,OH 35,,,,,,,,
Q89679666,organ,臓器,Q24060765,KNM-TH 13150,,,,,,,,
Q1411003,organ,臓器,Q24060765,Canadian sable,,fur of Martes americana,,,,,,
Q92897494,organ,臓器,Q24060765,Ternifine man,,,,,,,,
Q199225,organ,臓器,Q24060765,suslik fur,,fur of the animal ground squirrel,,,,,,
Q100305701,organ,臓器,Q24060765,"Fish Mandible with teeth, Yale University Art Gallery, inv. 1933.416",,"YUAG 5887. Archaeological object excavated in Dura-Europos by the Yale-French team, 1928-1937, Syria",,,,,,
Q302780,organ,臓器,Q24060765,sealskin,シールスキン,the skin of a seal,アザラシやオットセイの毛皮,,,,,
